Date,Month,Day,HijriMonth,HijriDay,Fajr,FajrIqama,Sunrise,Dhuhr,DhuhrIqama,Asr,AsrIqama,Maghrib,MaghribIqama,Isha,IshaIqama
2022-04-22,4,22,Ramadan,21,5:04,5:15,6:41,1:36,1:50,5:19,5:45,8:24,8:34,9:32,10:00
2022-04-23,4,23,Ramadan,22,5:02,5:15,6:39,1:35,1:50,5:19,5:45,8:25,8:35,9:33,10:00
2022-04-24,4,24,Ramadan,23,5:01,5:15,6:38,1:35,1:50,5:19,5:45,8:26,8:36,9:34,10:00
2022-04-25,4,25,Ramadan,24,4:59,5:15,6:36,1:35,1:50,5:20,5:45,8:27,8:37,9:34,10:00
2022-04-26,4,26,Ramadan,25,4:57,5:15,6:35,1:35,1:50,5:20,5:45,8:28,8:38,9:35,10:00
2022-04-27,4,27,Ramadan,26,4:56,5:15,6:34,1:35,1:50,5:21,5:45,8:30,8:40,9:36,10:00
2022-04-28,4,28,Ramadan,27,4:54,5:15,6:32,1:35,1:50,5:21,5:45,8:31,8:41,9:37,10:00
2022-04-29,4,29,Ramadan,28,4:52,5:15,6:31,1:34,1:50,5:21,5:45,8:32,8:42,9:38,10:15
2022-04-30,4,30,Ramadan,29,4:51,5:15,6:29,1:34,1:50,5:22,5:45,8:33,8:43,9:39,10:15
2022-05-01,5,1,Ramadan,30,4:49,5:15,6:28,1:34,1:50,5:22,5:45,8:34,8:44,9:40,10:15
2022-05-02,5,2,Shawwal,1,4:48,5:15,6:27,1:34,1:50,5:22,5:45,8:35,8:40,9:41,10:15
2022-05-03,5,3,Shawwal,2,4:46,5:15,6:25,1:34,1:50,5:23,5:45,8:36,8:41,9:42,10:15
2022-05-04,5,4,Shawwal,3,4:44,5:15,6:24,1:34,1:50,5:23,5:45,8:37,8:42,9:43,10:15
2022-05-05,5,5,Shawwal,4,4:43,5:15,6:23,1:34,1:50,5:23,5:45,8:38,8:43,9:44,10:15
2022-05-06,5,6,Shawwal,5,4:41,5:00,6:21,1:34,1:50,5:24,6:00,8:40,8:45,9:45,10:30
2022-05-07,5,7,Shawwal,6,4:40,5:00,6:20,1:34,1:50,5:24,6:00,8:41,8:46,9:46,10:30
2022-05-08,5,8,Shawwal,7,4:39,5:00,6:19,1:34,1:50,5:24,6:00,8:42,8:47,9:47,10:30
2022-05-09,5,9,Shawwal,8,4:37,5:00,6:18,1:33,1:50,5:24,6:00,8:43,8:48,9:48,10:30
2022-05-10,5,10,Shawwal,9,4:36,5:00,6:17,1:33,1:50,5:25,6:00,8:44,8:49,9:50,10:30
2022-05-11,5,11,Shawwal,10,4:34,5:00,6:15,1:33,1:50,5:25,6:00,8:45,8:50,9:51,10:30
2022-05-12,5,12,Shawwal,11,4:33,5:00,6:14,1:33,1:50,5:25,6:00,8:46,8:51,9:52,10:30
2022-05-13,5,13,Shawwal,12,4:32,5:00,6:13,1:33,1:50,5:26,6:00,8:47,8:52,9:54,10:30
2022-05-14,5,14,Shawwal,13,4:30,5:00,6:12,1:33,1:50,5:26,6:00,8:48,8:53,9:55,10:30
2022-05-15,5,15,Shawwal,14,4:29,5:00,6:11,1:33,1:50,5:26,6:00,8:49,8:54,9:56,10:30
2022-05-16,5,16,Shawwal,15,4:28,5:00,6:10,1:33,1:50,5:27,6:00,8:50,8:55,9:57,10:30
2022-05-17,5,17,Shawwal,16,4:26,5:00,6:09,1:33,1:50,5:27,6:00,8:51,8:56,9:59,10:30
2022-05-18,5,18,Shawwal,17,4:25,5:00,6:08,1:33,1:50,5:27,6:00,8:52,8:57,10:00,10:30
2022-05-19,5,19,Shawwal,18,4:24,5:00,6:07,1:33,1:50,5:28,6:00,8:53,8:58,10:01,10:30
2022-05-20,5,20,Shawwal,19,4:23,5:00,6:06,1:33,1:50,5:28,6:00,8:54,8:59,10:02,10:30
2022-05-21,5,21,Shawwal,20,4:22,5:00,6:06,1:34,1:50,5:28,6:00,8:55,9:00,10:04,10:30
2022-05-22,5,22,Shawwal,21,4:21,5:00,6:05,1:34,1:50,5:29,6:00,8:56,9:01,10:05,10:30
2022-05-23,5,23,Shawwal,22,4:20,5:00,6:04,1:34,1:50,5:29,6:00,8:57,9:02,10:06,10:30
2022-05-24,5,24,Shawwal,23,4:19,5:00,6:03,1:34,1:50,5:29,6:00,8:58,9:03,10:07,10:30
2022-05-25,5,25,Shawwal,24,4:18,5:00,6:02,1:34,1:50,5:30,6:00,8:59,9:04,10:08,10:30
2022-05-26,5,26,Shawwal,25,4:17,5:00,6:02,1:34,1:50,5:30,6:00,9:00,9:05,10:10,10:30
2022-05-27,5,27,Shawwal,26,4:16,5:00,6:01,1:34,1:50,5:30,6:00,9:01,9:06,10:11,10:45
2022-05-28,5,28,Shawwal,27,4:15,5:00,6:00,1:34,1:50,5:31,6:00,9:02,9:07,10:12,10:45
2022-05-29,5,29,Shawwal,28,4:14,5:00,6:00,1:34,1:50,5:31,6:00,9:02,9:07,10:13,10:45
2022-05-30,5,30,Shawwal,29,4:13,5:00,5:59,1:34,1:50,5:31,6:00,9:03,9:08,10:14,10:45
